,,,,
row.names,year,tvhours,natarms,
1,4602,1975,1,Too Much
2,4603,1975,2,About Right
3,4604,1975,3,Too Much
4,4605,1975,2,Too Much
5,4606,1975,1,Too Much
6,4607,1975,3,Too Much
7,4608,1975,4,About Right
8,4609,1975,4,About Right
9,4610,1975,2,Too Much
10,4611,1975,1,Too Much
11,4612,1975,3,Too Much
12,4614,1975,3,About Right
13,4615,1975,3,Too Much
14,4616,1975,3,Too Much
15,4618,1975,2,Too Much
16,4619,1975,1,About Right
17,4620,1975,3,Too Much
18,4621,1975,1,Too Little
19,4622,1975,2,About Right
20,4623,1975,2,Too Much
21,4624,1975,4,About Right
22,4625,1975,3,Too Much
23,4627,1975,2,About Right
24,4629,1975,1,Too Much
25,4630,1975,2,Too Little
26,4632,1975,4,About Right
28,4634,1975,2,Too Much
29,4635,1975,1,About Right
30,4636,1975,3,Too Much
